Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Performance Index Faixa,Sample Question Papers Practiced Faixa,Hours Studied Faixa,Extracurricular Activities Faixa,Sleep Hours Faixa
8,84,1,5,0,76,2,1,1,1,1
5,82,1,9,8,69,2,1,1,1,1
3,48,0,7,5,30,1,1,1,1,1
8,64,0,5,1,57,2,1,1,1,1
6,95,1,6,7,81,3,1,1,1,1
3,55,1,5,4,36,1,1,1,1,1
1,49,1,9,4,25,1,1,1,1,1
3,50,0,5,4,27,1,1,1,1,1
5,70,1,9,6,61,2,1,1,1,1
3,51,0,7,6,34,1,1,1,1,1
1,99,0,6,9,76,2,1,1,1,1
5,70,0,8,6,57,2,1,1,1,1
7,53,0,5,9,45,1,1,1,1,1
7,90,1,4,1,76,2,1,1,1,1
9,83,1,8,7,83,3,1,1,1,1
3,71,1,5,0,50,2,1,1,1,1
7,89,0,8,1,81,3,1,1,1,1
1,92,0,4,6,66,2,1,1,1,1
4,56,1,8,3,38,1,1,1,1,1
4,74,0,8,9,56,2,1,1,1,1
5,40,0,4,9,25,1,1,1,1,1
7,68,0,4,8,56,2,1,1,1,1
7,90,1,4,8,82,3,1,1,1,1
4,43,1,7,2,23,1,1,1,1,1
7,62,1,9,2,56,2,1,1,1,1
3,67,0,9,8,46,1,1,1,1,1
6,55,1,4,9,43,1,1,1,1,1
2,51,1,9,7,30,1,1,1,1,1
9,92,1,8,0,92,3,1,1,1,1
5,60,0,4,5,45,1,1,1,1,1
6,84,0,5,6,70,2,1,1,1,1
4,56,0,4,7,36,1,1,1,1,1
7,79,0,4,1,71,2,1,1,1,1
9,52,0,9,0,49,1,1,1,1,1
7,91,1,6,3,82,3,1,1,1,1
1,97,1,8,0,71,2,1,1,1,1
1,71,0,9,1,43,1,1,1,1,1
9,76,0,8,2,77,2,1,1,1,1
9,89,1,5,3,86,3,1,1,1,1
4,54,0,7,5,34,1,1,1,1,1
9,51,0,6,7,49,1,1,1,1,1
3,88,0,5,8,69,2,1,1,1,1
7,96,0,5,3,84,3,1,1,1,1
6,54,0,8,0,41,1,1,1,1,1
8,73,1,6,4,68,2,1,1,1,1
9,45,1,8,4,44,1,1,1,1,1
5,56,0,7,8,41,1,1,1,1,1
1,87,0,8,5,58,2,1,1,1,1
3,88,1,4,4,68,2,1,1,1,1
8,96,0,8,9,94,3,1,1,1,1
6,59,1,4,9,47,1,1,1,1,1
8,48,0,5,4,40,1,1,1,1,1
9,98,1,7,7,100,,1,1,1,1
4,44,1,9,0,23,1,1,1,1,1
1,62,0,4,4,36,1,1,1,1,1
1,72,0,7,0,47,1,1,1,1,1
4,77,1,8,6,60,2,1,1,1,1
7,95,0,9,6,83,3,1,1,1,1
2,53,1,8,9,33,1,1,1,1,1
3,56,0,5,7,36,1,1,1,1,1
1,96,0,8,6,74,2,1,1,1,1
5,58,0,4,8,42,1,1,1,1,1
1,72,1,5,7,47,1,1,1,1,1
8,40,1,7,7,31,1,1,1,1,1
1,52,0,5,2,26,1,1,1,1,1
1,85,1,7,9,58,2,1,1,1,1
2,66,0,6,3,42,1,1,1,1,1
2,45,1,4,3,18,1,1,1,1,1
6,98,0,4,0,85,3,1,1,1,1
7,45,1,7,5,36,1,1,1,1,1
5,72,1,8,1,58,2,1,1,1,1
1,69,1,9,8,45,1,1,1,1,1
1,85,1,8,0,60,2,1,1,1,1
3,74,1,6,0,56,2,1,1,1,1
2,62,1,7,9,42,1,1,1,1,1
5,49,0,6,5,33,1,1,1,1,1
6,90,0,7,0,77,2,1,1,1,1
7,58,1,6,2,51,2,1,1,1,1
4,90,0,7,9,72,2,1,1,1,1
7,67,1,4,1,57,2,1,1,1,1
8,62,0,6,8,53,2,1,1,1,1
1,43,0,6,4,16,1,1,1,1,1
6,59,0,7,5,45,1,1,1,1,1
8,58,0,5,1,49,1,1,1,1,1
5,81,1,5,7,67,2,1,1,1,1
4,66,0,4,5,49,1,1,1,1,1
2,96,0,8,7,73,2,1,1,1,1
6,73,0,8,7,65,2,1,1,1,1
6,43,1,4,0,27,1,1,1,1,1
1,95,0,8,6,72,2,1,1,1,1
9,77,1,9,1,74,2,1,1,1,1
6,46,1,9,7,38,1,1,1,1,1
3,87,0,9,1,67,2,1,1,1,1
4,46,1,9,3,28,1,1,1,1,1
4,89,0,7,1,73,2,1,1,1,1
3,91,0,5,6,72,2,1,1,1,1
3,65,0,4,4,42,1,1,1,1,1
3,65,0,7,8,47,1,1,1,1,1
4,93,0,9,4,77,2,1,1,1,1
7,58,0,4,7,49,1,1,1,1,1
4,48,0,5,1,30,1,1,1,1,1
9,59,1,8,2,54,2,1,1,1,1
1,81,1,7,5,56,2,1,1,1,1
8,84,0,5,6,75,2,1,1,1,1
7,89,0,4,9,78,2,1,1,1,1
2,55,1,6,7,32,1,1,1,1,1
8,93,0,7,2,89,3,1,1,1,1
1,56,1,4,6,29,1,1,1,1,1
9,61,1,4,7,57,2,1,1,1,1
9,52,0,5,9,48,1,1,1,1,1
2,51,0,4,5,27,1,1,1,1,1
7,49,1,7,3,38,1,1,1,1,1
3,40,1,9,5,18,1,1,1,1,1
7,71,0,7,8,66,2,1,1,1,1
9,69,0,4,2,65,2,1,1,1,1
4,47,1,5,1,27,1,1,1,1,1
1,60,1,7,4,33,1,1,1,1,1
2,61,1,6,6,37,1,1,1,1,1
1,57,0,9,2,29,1,1,1,1,1
5,41,0,8,4,26,1,1,1,1,1
5,87,0,5,3,72,2,1,1,1,1
7,83,1,5,6,77,2,1,1,1,1
9,48,1,8,1,45,1,1,1,1,1
9,42,0,8,6,41,1,1,1,1,1
3,93,1,7,1,73,2,1,1,1,1
3,65,1,4,2,43,1,1,1,1,1
3,60,1,4,4,39,1,1,1,1,1
4,69,1,6,6,54,2,1,1,1,1
8,67,1,9,5,62,2,1,1,1,1
6,75,0,4,6,63,2,1,1,1,1
8,65,0,6,5,59,2,1,1,1,1
1,73,0,6,0,46,1,1,1,1,1
8,47,0,5,4,42,1,1,1,1,1
4,49,0,5,0,30,1,1,1,1,1
1,87,1,9,6,63,2,1,1,1,1
8,94,1,7,3,89,3,1,1,1,1
4,82,1,8,4,62,2,1,1,1,1
6,89,0,8,0,77,2,1,1,1,1
8,93,1,9,7,88,3,1,1,1,1
4,53,1,6,3,35,1,1,1,1,1
3,79,1,9,2,60,2,1,1,1,1
9,94,0,8,0,92,3,1,1,1,1
3,54,1,6,3,38,1,1,1,1,1
9,56,1,8,2,56,2,1,1,1,1
2,92,0,7,7,70,2,1,1,1,1
2,57,0,5,8,35,1,1,1,1,1
2,71,1,5,4,47,1,1,1,1,1
6,77,0,6,8,66,2,1,1,1,1
3,62,1,9,0,43,1,1,1,1,1
9,85,0,8,6,81,3,1,1,1,1
4,62,1,4,6,43,1,1,1,1,1
1,74,1,7,5,46,1,1,1,1,1
4,78,0,8,3,61,2,1,1,1,1
1,54,0,4,8,27,1,1,1,1,1
5,92,0,7,2,77,2,1,1,1,1
4,63,0,7,0,43,1,1,1,1,1
8,67,1,5,1,60,2,1,1,1,1
8,55,0,6,2,48,1,1,1,1,1
7,55,1,8,1,47,1,1,1,1,1
3,79,1,7,5,60,2,1,1,1,1
1,78,1,8,6,53,2,1,1,1,1
1,45,0,7,4,19,1,1,1,1,1
3,41,1,9,4,23,1,1,1,1,1
6,93,1,5,6,81,3,1,1,1,1
7,52,0,6,5,41,1,1,1,1,1
6,83,1,4,7,71,2,1,1,1,1
6,86,1,4,8,75,2,1,1,1,1
6,98,1,9,1,89,3,1,1,1,1
3,48,0,5,1,28,1,1,1,1,1
6,73,1,7,0,60,2,1,1,1,1
8,56,1,5,6,54,2,1,1,1,1
2,66,1,6,3,41,1,1,1,1,1
5,68,0,4,8,52,2,1,1,1,1
1,76,0,8,5,53,2,1,1,1,1
1,82,0,4,6,52,2,1,1,1,1
5,61,1,6,6,47,1,1,1,1,1
3,90,1,7,7,71,2,1,1,1,1
4,63,1,5,3,42,1,1,1,1,1
3,46,1,4,2,21,1,1,1,1,1
1,73,1,4,2,48,1,1,1,1,1
1,87,0,8,9,64,2,1,1,1,1
5,51,1,5,7,38,1,1,1,1,1
6,62,1,8,2,49,1,1,1,1,1
3,54,0,8,7,35,1,1,1,1,1
9,72,0,7,1,73,2,1,1,1,1
5,96,1,4,4,81,3,1,1,1,1
8,52,0,9,4,47,1,1,1,1,1
1,62,0,5,6,36,1,1,1,1,1
5,77,0,7,4,63,2,1,1,1,1
3,71,1,9,8,52,2,1,1,1,1
1,84,0,7,2,58,2,1,1,1,1
4,89,1,7,8,77,2,1,1,1,1
5,74,0,6,0,58,2,1,1,1,1
7,40,1,6,2,33,1,1,1,1,1
1,86,1,7,3,67,2,1,1,1,1
3,97,1,6,5,76,2,1,1,1,1
2,84,0,5,9,62,2,1,1,1,1
9,44,0,4,7,37,1,1,1,1,1
6,96,0,9,6,86,3,1,1,1,1
3,52,1,5,7,37,1,1,1,1,1
8,93,0,4,5,88,3,1,1,1,1
8,44,0,6,5,38,1,1,1,1,1
2,99,1,9,5,76,2,1,1,1,1
6,71,0,5,2,57,2,1,1,1,1
7,90,1,8,9,82,3,1,1,1,1
2,60,0,7,3,35,1,1,1,1,1
2,63,1,4,5,41,1,1,1,1,1
1,99,1,4,6,75,2,1,1,1,1
8,57,0,8,2,51,2,1,1,1,1
1,60,1,8,3,34,1,1,1,1,1
9,93,0,7,5,92,3,1,1,1,1
6,49,0,6,0,39,1,1,1,1,1
7,63,0,5,6,56,2,1,1,1,1
7,79,0,5,0,69,2,1,1,1,1
3,86,1,5,9,69,2,1,1,1,1
2,60,1,6,8,40,1,1,1,1,1
9,64,1,7,9,63,2,1,1,1,1
8,91,0,5,8,86,3,1,1,1,1
7,99,0,4,8,89,3,1,1,1,1
9,96,1,4,3,94,3,1,1,1,1
4,98,1,4,1,79,2,1,1,1,1
4,62,0,8,6,44,1,1,1,1,1
1,61,0,8,3,33,1,1,1,1,1
8,43,0,6,4,36,1,1,1,1,1
3,73,1,5,0,50,2,1,1,1,1
7,95,0,8,9,94,3,1,1,1,1
2,45,1,4,5,22,1,1,1,1,1
2,67,0,8,6,44,1,1,1,1,1
7,70,1,4,2,60,2,1,1,1,1
6,74,0,5,9,64,2,1,1,1,1
3,78,1,6,1,58,2,1,1,1,1
9,81,1,7,9,78,2,1,1,1,1
6,62,1,7,6,51,2,1,1,1,1
6,45,0,4,0,30,1,1,1,1,1
1,55,1,8,1,29,1,1,1,1,1
4,41,1,8,2,22,1,1,1,1,1
6,63,0,4,3,51,2,1,1,1,1
6,56,1,5,4,45,1,1,1,1,1
5,84,1,4,3,70,2,1,1,1,1
1,40,0,5,9,10,1,1,1,1,1
8,45,1,6,2,38,1,1,1,1,1
5,44,0,6,0,30,1,1,1,1,1
5,96,1,4,6,82,3,1,1,1,1
7,84,0,6,9,74,2,1,1,1,1
4,99,1,8,5,87,3,1,1,1,1
6,94,1,5,1,77,2,1,1,1,1
4,89,1,7,1,72,2,1,1,1,1
3,68,0,7,2,51,2,1,1,1,1
7,51,1,6,7,40,1,1,1,1,1
8,78,1,5,7,72,2,1,1,1,1
4,86,0,8,9,68,2,1,1,1,1
2,42,0,7,9,22,1,1,1,1,1
3,87,0,8,9,67,2,1,1,1,1
1,40,1,8,9,18,1,1,1,1,1
8,66,1,7,7,64,2,1,1,1,1
3,87,1,7,6,66,2,1,1,1,1
7,63,0,6,1,50,2,1,1,1,1
5,83,0,5,0,68,2,1,1,1,1
5,58,1,4,5,44,1,1,1,1,1
7,98,1,5,7,90,3,1,1,1,1
9,47,0,4,0,41,1,1,1,1,1
5,94,0,7,2,83,3,1,1,1,1
1,83,0,8,0,57,2,1,1,1,1
1,86,1,5,9,64,2,1,1,1,1
2,41,0,8,8,18,1,1,1,1,1
6,69,0,5,6,62,2,1,1,1,1
9,69,0,9,7,66,2,1,1,1,1
8,88,0,5,8,85,3,1,1,1,1
5,78,1,8,2,62,2,1,1,1,1
1,84,0,9,9,62,2,1,1,1,1
7,71,1,6,1,62,2,1,1,1,1
5,40,1,7,5,26,1,1,1,1,1
6,77,0,6,4,66,2,1,1,1,1
7,52,0,6,3,43,1,1,1,1,1
3,50,1,5,5,30,1,1,1,1,1
3,49,0,7,5,25,1,1,1,1,1
5,87,1,9,2,77,2,1,1,1,1
6,98,0,5,1,88,3,1,1,1,1
9,65,1,4,8,62,2,1,1,1,1
5,95,1,5,7,82,3,1,1,1,1
1,94,1,9,3,73,2,1,1,1,1
4,59,0,8,5,44,1,1,1,1,1
5,56,1,5,2,40,1,1,1,1,1
5,56,1,4,7,39,1,1,1,1,1
7,43,0,5,2,34,1,1,1,1,1
4,44,0,9,1,27,1,1,1,1,1
1,99,1,4,6,73,2,1,1,1,1
5,62,1,7,2,46,1,1,1,1,1
7,85,0,9,8,78,2,1,1,1,1
6,91,1,5,2,80,3,1,1,1,1
5,49,0,4,7,33,1,1,1,1,1
4,85,0,9,1,68,2,1,1,1,1
2,67,0,7,8,45,1,1,1,1,1
4,72,1,8,0,56,2,1,1,1,1
3,82,0,6,2,58,2,1,1,1,1
1,65,1,4,1,37,1,1,1,1,1
8,94,1,8,6,88,3,1,1,1,1
5,89,0,7,4,75,2,1,1,1,1
4,87,0,8,7,70,2,1,1,1,1
8,68,0,5,1,62,2,1,1,1,1
7,66,0,6,7,57,2,1,1,1,1
2,57,1,4,6,32,1,1,1,1,1
1,79,1,9,4,53,2,1,1,1,1
4,99,0,7,1,82,3,1,1,1,1
8,49,1,6,9,41,1,1,1,1,1
2,97,0,7,6,75,2,1,1,1,1
3,81,1,8,9,63,2,1,1,1,1
1,44,1,7,3,17,1,1,1,1,1
1,49,1,7,3,24,1,1,1,1,1
3,89,0,8,7,69,2,1,1,1,1
5,60,1,8,5,47,1,1,1,1,1
3,63,1,6,8,43,1,1,1,1,1
1,77,1,4,1,48,1,1,1,1,1
1,42,1,8,4,17,1,1,1,1,1
8,79,0,6,5,75,2,1,1,1,1
2,70,1,7,7,54,2,1,1,1,1
3,80,0,7,3,59,2,1,1,1,1
2,76,0,9,6,56,2,1,1,1,1
3,41,1,5,6,20,1,1,1,1,1
7,41,1,8,3,34,1,1,1,1,1
1,78,0,6,0,54,2,1,1,1,1
8,88,0,9,2,83,3,1,1,1,1
2,81,0,6,1,59,2,1,1,1,1
3,83,1,4,2,63,2,1,1,1,1
9,73,1,9,4,72,2,1,1,1,1
7,81,0,6,0,70,2,1,1,1,1
4,59,0,8,4,41,1,1,1,1,1
5,72,0,6,1,54,2,1,1,1,1
2,43,1,5,3,21,1,1,1,1,1
8,84,1,7,5,83,3,1,1,1,1
4,83,0,7,8,64,2,1,1,1,1
9,50,1,9,9,51,2,1,1,1,1
5,81,0,6,5,66,2,1,1,1,1
9,86,1,6,9,83,3,1,1,1,1
4,44,0,6,1,26,1,1,1,1,1
5,64,1,6,7,49,1,1,1,1,1
9,88,1,5,4,85,3,1,1,1,1
8,99,1,8,8,95,3,1,1,1,1
3,76,1,5,9,56,2,1,1,1,1
1,73,1,5,8,50,2,1,1,1,1
3,48,1,5,3,23,1,1,1,1,1
4,45,1,7,0,26,1,1,1,1,1
2,57,0,5,8,30,1,1,1,1,1
1,53,0,6,8,28,1,1,1,1,1
7,58,0,5,7,48,1,1,1,1,1
8,53,1,6,4,46,1,1,1,1,1
7,79,1,9,4,73,2,1,1,1,1
5,56,1,8,9,45,1,1,1,1,1
1,99,0,7,5,76,2,1,1,1,1
7,74,0,8,0,71,2,1,1,1,1
7,68,0,9,8,60,2,1,1,1,1
9,81,0,8,4,77,2,1,1,1,1
3,56,0,7,6,36,1,1,1,1,1
9,98,0,6,7,96,3,1,1,1,1
1,82,1,9,4,62,2,1,1,1,1
1,47,0,9,2,22,1,1,1,1,1
4,40,1,6,5,21,1,1,1,1,1
9,84,0,6,6,79,2,1,1,1,1
6,92,0,7,3,82,3,1,1,1,1
3,75,1,5,8,55,2,1,1,1,1
1,46,1,4,3,22,1,1,1,1,1
4,85,1,5,9,70,2,1,1,1,1
9,44,0,5,1,37,1,1,1,1,1
3,63,0,8,8,42,1,1,1,1,1
9,67,1,4,3,64,2,1,1,1,1
7,82,0,6,3,72,2,1,1,1,1
4,56,1,5,9,42,1,1,1,1,1
3,76,0,7,0,56,2,1,1,1,1
5,59,0,5,1,43,1,1,1,1,1
5,42,0,6,2,24,1,1,1,1,1
3,76,1,5,6,55,2,1,1,1,1
9,65,0,9,8,64,2,1,1,1,1
4,54,1,8,4,34,1,1,1,1,1
5,90,1,8,3,78,2,1,1,1,1
4,87,1,5,1,71,2,1,1,1,1
5,47,1,8,6,33,1,1,1,1,1
7,52,1,7,5,46,1,1,1,1,1
9,87,1,4,6,86,3,1,1,1,1
7,42,1,5,7,34,1,1,1,1,1
5,40,1,7,8,26,1,1,1,1,1
7,48,1,9,9,44,1,1,1,1,1
5,70,0,7,4,53,2,1,1,1,1
3,80,1,7,4,61,2,1,1,1,1
7,93,0,9,3,84,3,1,1,1,1
2,65,1,6,2,40,1,1,1,1,1
9,56,0,5,6,53,2,1,1,1,1
1,95,0,5,4,67,2,1,1,1,1
6,73,0,5,6,58,2,1,1,1,1
7,48,0,4,1,41,1,1,1,1,1
8,95,0,7,8,89,3,1,1,1,1
9,90,0,5,8,85,3,1,1,1,1
2,52,1,8,8,33,1,1,1,1,1
2,44,1,6,4,20,1,1,1,1,1
5,80,1,9,9,66,2,1,1,1,1
5,52,1,9,8,38,1,1,1,1,1
6,40,1,4,0,25,1,1,1,1,1
3,64,1,9,1,43,1,1,1,1,1
8,86,0,6,9,79,2,1,1,1,1
1,43,1,7,4,16,1,1,1,1,1
6,75,0,9,4,67,2,1,1,1,1
4,91,0,9,5,80,3,1,1,1,1
1,49,0,8,7,26,1,1,1,1,1
7,67,0,7,0,57,2,1,1,1,1
9,96,0,5,9,91,3,1,1,1,1
4,45,0,6,8,29,1,1,1,1,1
4,66,1,9,3,48,1,1,1,1,1
6,95,0,8,7,84,3,1,1,1,1
3,51,0,6,4,33,1,1,1,1,1
6,91,1,4,0,82,3,1,1,1,1
7,87,1,8,8,81,3,1,1,1,1
3,42,1,4,7,24,1,1,1,1,1
7,85,1,9,4,81,3,1,1,1,1
3,72,1,8,3,54,2,1,1,1,1
2,49,1,5,7,25,1,1,1,1,1
4,70,1,6,8,53,2,1,1,1,1
8,54,0,6,6,48,1,1,1,1,1
9,46,1,7,3,40,1,1,1,1,1
7,75,0,8,6,66,2,1,1,1,1
1,53,1,8,5,29,1,1,1,1,1
3,95,1,4,2,73,2,1,1,1,1
9,87,0,8,9,89,3,1,1,1,1
1,53,1,6,2,27,1,1,1,1,1
9,42,1,8,0,40,1,1,1,1,1
8,88,1,7,4,83,3,1,1,1,1
1,92,1,7,7,69,2,1,1,1,1
6,85,1,6,5,72,2,1,1,1,1
5,89,1,6,7,77,2,1,1,1,1
6,42,1,6,6,32,1,1,1,1,1
5,61,0,8,1,49,1,1,1,1,1
6,58,1,8,7,44,1,1,1,1,1
5,74,0,5,3,57,2,1,1,1,1
5,51,0,9,4,34,1,1,1,1,1
4,93,0,9,7,76,2,1,1,1,1
3,44,0,4,4,22,1,1,1,1,1
3,49,0,8,4,30,1,1,1,1,1
4,80,0,5,5,67,2,1,1,1,1
9,72,0,5,6,71,2,1,1,1,1
2,52,1,7,8,29,1,1,1,1,1
9,74,1,8,6,74,2,1,1,1,1
1,90,1,5,5,67,2,1,1,1,1
1,71,0,7,9,46,1,1,1,1,1
5,50,1,4,3,34,1,1,1,1,1
6,87,0,7,9,76,2,1,1,1,1
6,77,0,4,1,64,2,1,1,1,1
3,63,1,9,8,46,1,1,1,1,1
7,74,0,9,9,68,2,1,1,1,1
9,58,0,6,4,58,2,1,1,1,1
8,45,1,6,4,41,1,1,1,1,1
6,79,0,7,2,64,2,1,1,1,1
8,93,1,6,2,84,3,1,1,1,1
5,84,0,8,0,70,2,1,1,1,1
8,83,0,7,4,77,2,1,1,1,1
4,81,1,5,2,60,2,1,1,1,1
8,74,1,8,1,65,2,1,1,1,1
2,43,1,7,8,21,1,1,1,1,1
5,72,0,9,9,60,2,1,1,1,1
9,52,0,4,5,48,1,1,1,1,1
4,95,1,6,2,77,2,1,1,1,1
6,75,1,6,6,63,2,1,1,1,1
1,93,1,6,8,68,2,1,1,1,1
9,82,0,7,8,81,3,1,1,1,1
1,58,0,8,0,29,1,1,1,1,1
5,82,1,4,1,66,2,1,1,1,1
4,51,1,6,7,36,1,1,1,1,1
3,50,1,8,0,29,1,1,1,1,1
6,45,0,5,2,32,1,1,1,1,1
2,51,1,9,6,31,1,1,1,1,1
3,66,1,5,7,45,1,1,1,1,1
5,80,1,4,4,65,2,1,1,1,1
9,64,0,6,1,57,2,1,1,1,1
2,81,0,5,2,58,2,1,1,1,1
8,42,1,9,8,38,1,1,1,1,1
2,42,0,8,9,22,1,1,1,1,1
5,59,1,8,6,48,1,1,1,1,1
7,67,1,5,0,59,2,1,1,1,1
8,62,1,6,2,58,2,1,1,1,1
1,87,1,9,8,62,2,1,1,1,1
6,42,0,4,6,30,1,1,1,1,1
1,81,1,6,1,56,2,1,1,1,1
2,63,1,7,5,40,1,1,1,1,1
1,82,0,5,8,59,2,1,1,1,1
5,79,1,7,3,65,2,1,1,1,1
9,45,0,5,9,43,1,1,1,1,1
6,59,1,4,1,48,1,1,1,1,1
1,50,1,6,2,24,1,1,1,1,1
1,71,1,9,6,51,2,1,1,1,1
2,99,1,6,3,81,3,1,1,1,1
9,66,0,5,6,62,2,1,1,1,1
3,60,1,8,4,43,1,1,1,1,1
1,83,0,7,7,63,2,1,1,1,1
5,87,0,9,7,73,2,1,1,1,1
7,89,0,9,4,76,2,1,1,1,1
6,52,1,6,6,43,1,1,1,1,1
1,61,0,6,5,34,1,1,1,1,1
5,74,0,5,7,57,2,1,1,1,1
5,86,0,8,8,72,2,1,1,1,1
6,61,1,7,4,47,1,1,1,1,1
3,67,1,8,6,52,2,1,1,1,1
5,60,0,9,0,49,1,1,1,1,1
7,85,0,8,7,77,2,1,1,1,1
5,57,1,5,2,41,1,1,1,1,1
5,70,0,8,0,56,2,1,1,1,1
5,99,0,7,5,89,3,1,1,1,1
3,85,0,9,7,65,2,1,1,1,1
1,76,1,4,2,49,1,1,1,1,1
5,60,0,9,0,48,1,1,1,1,1
9,53,0,4,2,47,1,1,1,1,1
1,64,1,7,4,37,1,1,1,1,1
3,66,0,9,7,48,1,1,1,1,1
4,79,1,9,8,61,2,1,1,1,1
1,99,1,9,8,77,2,1,1,1,1
1,99,1,9,3,75,2,1,1,1,1
8,62,0,5,7,57,2,1,1,1,1
2,70,0,6,4,45,1,1,1,1,1
8,86,0,9,2,82,3,1,1,1,1
7,99,0,5,4,90,3,1,1,1,1
2,68,0,7,1,42,1,1,1,1,1
6,86,0,9,5,74,2,1,1,1,1
6,69,0,8,0,60,2,1,1,1,1
3,90,0,9,5,73,2,1,1,1,1
2,65,1,9,4,40,1,1,1,1,1
1,59,0,4,8,32,1,1,1,1,1
6,77,0,8,6,67,2,1,1,1,1
5,58,1,9,5,46,1,1,1,1,1
9,66,0,9,6,65,2,1,1,1,1
1,64,1,9,9,42,1,1,1,1,1
7,79,0,5,4,69,2,1,1,1,1
5,77,0,7,0,62,2,1,1,1,1
5,91,1,4,8,75,2,1,1,1,1
2,62,1,9,4,40,1,1,1,1,1
3,68,0,7,3,43,1,1,1,1,1
7,54,1,4,5,42,1,1,1,1,1
