Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
5,82,1,4,1,4
4,51,1,6,7,2
3,50,1,8,0,2
6,45,0,5,2,2
2,51,1,9,6,2
3,66,1,5,7,3
5,80,1,4,4,4
9,64,0,6,1,3
2,81,0,5,2,3
8,42,1,9,8,2
2,42,0,8,9,2
5,59,1,8,6,3
7,67,1,5,0,3
8,62,1,6,2,3
1,87,1,9,8,4
6,42,0,4,6,2
1,81,1,6,1,3
2,63,1,7,5,2
1,82,0,5,8,3
5,79,1,7,3,4
9,45,0,5,9,3
6,59,1,4,1,3
1,50,1,6,2,2
1,71,1,9,6,3
2,99,1,6,3,5
9,66,0,5,6,4
3,60,1,8,4,3
1,83,0,7,7,4
5,87,0,9,7,4
7,89,0,9,4,4
6,52,1,6,6,3
1,61,0,6,5,2
5,74,0,5,7,3
5,86,0,8,8,4
6,61,1,7,4,3
3,67,1,8,6,3
5,60,0,9,0,3
7,85,0,8,7,4
5,57,1,5,2,3
5,70,0,8,0,3
5,99,0,7,5,5
3,85,0,9,7,4
1,76,1,4,2,3
5,60,0,9,0,3
9,53,0,4,2,3
1,64,1,7,4,2
3,66,0,9,7,3
4,79,1,9,8,4
1,99,1,9,8,4
1,99,1,9,3,4
8,62,0,5,7,3
2,70,0,6,4,3
8,86,0,9,2,5
7,99,0,5,4,5
2,68,0,7,1,3
6,86,0,9,5,4
6,69,0,8,0,3
3,90,0,9,5,4
2,65,1,9,4,2
1,59,0,4,8,2
6,77,0,8,6,4
5,58,1,9,5,3
9,66,0,9,6,4
1,64,1,9,9,3
7,79,0,5,4,4
5,77,0,7,0,4
5,91,1,4,8,4
2,62,1,9,4,2
3,68,0,7,3,3
7,54,1,4,5,3
6,98,0,4,4,5
2,42,0,4,0,1
6,49,0,9,1,2
2,54,0,5,3,2
2,95,0,9,7,4
2,55,0,9,4,2
3,56,1,7,6,2
2,58,1,6,1,2
4,50,1,6,7,2
9,87,0,6,4,5
6,44,1,7,3,2
1,44,0,8,8,1
8,97,1,7,5,5
7,53,0,4,3,3
3,89,0,9,7,4
1,65,0,8,2,2
5,47,0,4,9,2
4,44,0,9,1,2
8,46,1,9,6,3
1,55,0,4,3,2
1,94,1,7,3,4
4,53,0,6,9,2
8,76,0,8,8,4
5,95,0,9,1,5
2,80,1,5,0,3
6,43,0,9,6,2
5,75,1,6,7,3
2,87,0,9,2,4
3,95,1,5,1,4
9,56,1,7,3,3
7,86,1,9,1,5
7,75,0,8,1,4
6,45,0,7,4,2
8,55,1,5,9,3
4,68,0,4,4,3
8,75,0,9,7,4
4,77,0,7,8,3
8,76,1,9,1,4
9,87,1,8,0,5
3,96,0,9,2,4
3,87,1,7,5,4
2,49,0,6,4,2
3,80,0,7,7,3
3,75,1,5,7,3
5,68,1,7,1,3
5,53,0,8,8,2
2,43,0,7,3,1
6,83,0,7,0,4
5,95,1,8,1,5
6,81,1,7,5,4
1,75,0,8,4,3
5,89,0,5,6,4
9,84,1,8,8,5
2,52,0,5,5,2
1,85,1,5,5,3
9,57,1,8,1,3
9,72,0,7,6,4
9,60,0,9,1,4
6,55,1,6,6,3
8,54,0,9,7,3
1,93,1,8,0,4
4,96,1,7,8,4
1,44,1,5,7,1
8,45,0,4,8,2
1,77,0,6,4,3
3,42,0,9,3,2
4,87,1,7,0,4
8,51,1,6,8,3
6,75,1,4,3,4
7,72,1,4,3,4
8,75,0,4,3,4
2,72,0,9,1,3
8,70,0,8,3,4
3,60,1,6,1,2
7,66,1,8,7,3
3,66,0,4,6,3
7,47,1,7,9,2
2,95,0,4,1,4
6,76,1,8,1,4
3,71,1,4,1,3
3,65,1,4,0,3
9,41,1,8,5,2
7,51,1,8,5,3
5,61,0,7,0,3
7,56,0,8,0,3
9,46,0,7,5,3
1,82,1,5,5,3
7,43,0,5,3,2
6,76,0,8,2,4
9,77,1,4,8,4
1,71,1,6,5,3
4,50,0,4,0,2
9,40,0,8,2,2
4,64,0,7,0,3
3,81,0,4,2,3
9,91,0,5,1,5
2,63,1,9,4,3
4,92,0,8,2,4
6,82,0,4,6,4
2,95,0,9,7,4
8,56,0,4,6,3
8,47,0,7,1,2
1,98,0,7,9,4
3,84,1,7,9,4
9,66,1,9,6,4
5,91,1,6,9,4
6,57,0,9,2,3
4,66,0,8,6,3
2,61,1,8,0,3
8,55,0,5,1,3
6,41,0,5,9,2
5,44,0,8,0,2
9,57,1,4,8,3
1,42,1,8,1,1
5,66,1,6,1,3
6,93,0,5,5,5
5,56,1,5,6,2
6,55,1,9,1,3
6,45,1,5,3,2
7,90,0,8,2,5
4,46,1,5,4,2
8,89,1,5,8,4
7,53,0,9,1,3
9,77,1,8,4,4
7,79,0,4,7,4
3,54,0,5,5,2
3,86,1,5,3,4
8,86,1,5,9,4
5,87,1,6,7,4
4,72,0,8,2,3
8,82,1,5,3,4
6,66,1,6,8,3
2,68,1,4,4,3
4,96,0,4,5,4
4,76,0,9,1,3
6,44,0,9,8,2
6,68,1,9,7,4
1,71,1,6,6,3
8,99,0,4,8,5
6,92,1,9,4,5
3,45,1,7,4,2
9,41,0,9,8,2
2,45,0,4,4,1
8,85,0,7,8,5
3,82,1,6,0,3
5,43,1,7,9,2
6,95,1,4,9,5
6,68,0,5,7,3
4,98,0,7,2,4
3,64,1,4,7,3
4,48,0,9,4,2
1,95,0,5,1,4
4,42,1,6,8,2
1,65,0,6,3,2
1,87,1,8,6,4
6,82,0,6,7,4
5,66,1,8,6,3
4,75,0,6,5,3
3,71,1,6,6,3
1,40,0,6,3,1
6,96,0,8,9,5
2,92,0,9,0,4
8,93,0,8,4,5
5,55,0,7,7,3
7,90,1,4,9,5
2,87,1,4,5,4
8,50,1,9,4,3
2,65,0,4,1,3
4,79,1,6,9,4
1,94,0,9,4,4
5,40,0,4,9,2
9,65,1,8,2,4
1,67,1,7,1,3
9,92,0,5,2,5
8,97,0,7,3,5
6,48,1,4,1,2
7,99,1,9,3,5
3,98,0,4,3,4
1,83,0,8,5,3
5,61,1,7,4,3
2,47,0,8,6,2
5,97,0,8,6,5
8,88,1,5,2,5
9,81,1,8,8,4
2,66,0,8,6,3
3,78,0,5,6,3
3,58,1,6,1,3
1,64,0,6,9,3
8,77,1,9,2,4
6,60,0,5,2,3
8,63,1,9,5,4
9,63,0,9,3,4
5,99,0,8,3,5
3,99,0,9,0,4
5,58,1,4,5,3
5,89,1,7,7,4
5,86,1,4,7,4
3,41,0,4,7,1
4,53,0,8,4,2
9,92,1,7,9,5
9,71,1,9,5,4
2,81,0,7,4,3
8,71,0,9,3,4
8,67,0,6,3,3
7,87,0,5,3,4
8,78,1,8,3,4
3,79,1,9,5,4
6,81,0,9,5,4
1,86,0,7,4,3
7,79,0,8,8,4
1,52,1,9,7,2
9,51,1,6,9,3
1,47,0,4,5,1
1,54,0,9,8,2
7,65,0,7,4,3
2,51,0,6,9,2
5,82,0,8,3,4
8,90,0,9,5,5
8,85,1,6,3,5
3,66,1,6,7,3
7,57,1,6,6,3
3,84,0,6,4,4
6,75,0,6,9,4
6,88,0,6,5,4
3,90,1,5,6,4
7,66,0,8,1,3
3,48,1,4,8,2
8,94,0,8,6,5
4,78,0,7,7,3
1,40,0,7,4,1
4,46,1,8,2,2
7,65,1,6,1,3
4,46,1,5,1,2
6,91,0,4,2,4
9,46,1,9,0,3
1,47,0,9,0,1
5,55,0,6,6,3
7,42,1,8,9,2
1,84,1,9,7,3
4,49,0,8,5,2
6,89,0,5,6,4
2,46,0,5,0,2
5,60,0,8,0,3
1,92,1,6,8,4
6,76,1,6,4,4
6,70,1,6,6,3
4,62,0,9,5,3
8,96,0,4,3,5
4,66,0,4,0,3
8,95,1,6,3,5
8,61,0,8,9,3
5,78,0,5,9,4
4,96,1,7,7,4
2,66,1,5,0,3
3,93,0,5,1,4
3,88,1,7,7,4
4,43,0,6,1,2
4,63,1,5,9,3
5,62,0,7,8,3
4,87,1,9,2,4
8,58,1,8,2,3
6,81,1,8,5,4
6,42,1,8,2,2
8,66,0,6,8,3
7,42,0,5,7,2
8,67,1,5,3,3
2,56,0,4,5,2
9,70,1,8,7,4
1,49,1,6,3,2
8,88,0,7,4,5
4,61,0,6,6,3
4,69,0,5,7,3
5,88,0,8,6,4
8,60,0,4,7,3
5,75,0,9,3,4
8,92,0,6,0,5
1,62,1,4,5,2
9,77,0,5,4,4
6,51,1,7,3,2
3,64,0,6,1,3
8,93,0,9,0,5
9,96,1,5,8,5
6,59,1,8,1,3
7,88,1,6,8,5
1,88,1,4,5,4
5,81,0,6,5,4
5,46,0,5,1,2
4,68,1,5,5,3
6,87,1,4,2,4
7,68,0,9,6,4
9,52,0,5,9,3
1,42,1,6,3,1
6,41,0,9,8,2
7,55,0,4,4,3
3,69,1,5,9,3
8,77,1,5,2,4
5,45,1,6,0,2
9,84,1,5,0,5
5,46,0,6,3,2
9,44,1,8,9,3
4,95,0,9,9,4
9,46,0,6,3,3
5,73,0,7,8,4
9,71,0,5,7,4
3,88,1,8,3,4
4,52,0,9,5,2
9,69,1,4,6,4
6,64,0,7,9,3
2,60,1,4,7,2
7,99,0,7,3,5
2,98,0,8,0,4
2,60,1,9,4,2
1,67,1,8,0,2
3,87,1,8,3,4
6,97,1,7,6,5
8,59,0,6,6,3
9,73,0,9,0,4
7,44,0,4,8,2
4,57,0,6,1,2
6,99,0,6,4,5
5,78,1,5,5,4
8,82,1,4,0,4
1,96,0,7,1,4
1,96,1,5,6,4
6,50,0,5,5,2
2,93,0,8,5,4
5,56,1,7,5,2
1,87,0,6,6,3
7,84,1,9,9,4
1,61,0,6,8,2
4,76,1,6,8,3
9,59,0,8,1,3
1,87,0,6,1,4
4,99,1,4,4,5
6,93,0,6,9,5
6,93,0,6,6,5
8,87,1,4,2,4
1,87,1,8,2,4
7,85,1,5,3,4
1,45,0,7,2,1
7,73,1,8,2,4
3,53,1,6,7,2
8,87,1,5,6,4
3,62,0,7,6,3
1,59,1,7,9,2
8,52,0,7,1,3
3,86,0,4,8,4
2,83,1,4,5,3
1,80,0,5,2,3
3,71,0,6,8,3
2,65,0,5,8,3
2,89,0,6,5,4
6,92,0,8,9,4
1,53,1,7,5,2
2,91,1,7,7,4
6,96,1,4,7,5
3,75,0,8,5,3
4,47,1,9,6,2
1,79,0,8,3,3
8,61,0,6,0,3
7,61,0,8,3,3
7,55,0,4,7,3
3,66,1,6,7,3
3,95,0,5,1,4
2,99,1,6,6,4
1,99,1,5,0,4
7,49,0,9,1,2
7,64,1,6,7,3
2,70,1,7,9,3
7,60,1,9,3,3
8,66,0,5,2,3
1,56,0,4,1,2
9,72,0,9,5,4
7,70,1,9,3,4
3,89,1,9,2,4
8,81,0,5,2,4
7,65,0,5,9,3
8,60,1,6,2,3
6,75,0,7,7,4
9,40,0,9,8,2
5,43,1,6,8,2
3,43,1,6,4,2
3,65,0,7,0,3
1,43,0,6,9,1
8,88,0,7,4,5
2,48,0,4,0,1
3,69,1,7,8,3
8,90,0,8,9,5
8,84,0,7,7,4
4,43,1,7,6,2
4,44,1,8,1,2
5,84,1,7,1,4
6,62,1,5,3,3
5,55,1,6,8,2
7,61,1,6,8,3
2,76,1,4,7,3
7,47,0,4,4,2
7,87,0,8,6,4
1,72,1,5,8,3
7,94,0,4,2,5
5,99,0,6,3,5
3,77,1,4,1,3
3,82,1,4,8,4
4,55,1,7,6,2
2,44,1,4,5,1
2,55,1,8,4,2
1,46,0,6,6,1
5,90,0,8,2,4
4,40,1,8,4,2
2,48,1,9,1,2
3,57,0,5,4,2
7,84,0,9,6,4
7,97,0,9,9,5
4,86,1,7,6,4
5,42,1,8,8,2
5,63,0,5,2,3
6,67,1,6,7,3
9,49,0,6,4,3
2,48,1,5,6,2
5,52,1,8,0,2
3,87,0,8,0,4
4,74,0,7,3,3
6,93,1,7,4,4
8,62,0,9,9,3
1,86,1,6,2,3
8,56,0,7,5,3
7,85,0,5,2,4
1,46,1,6,4,1
2,91,1,8,0,4
3,55,1,6,2,2
1,92,0,4,6,4
9,79,0,6,2,4
8,75,1,7,4,4
2,59,0,5,6,2
9,63,1,8,1,4
7,86,1,8,2,4
9,44,1,7,3,2
6,84,1,7,4,4
6,45,1,7,8,2
4,67,0,4,8,3
2,98,0,5,3,4
7,44,1,4,8,2
5,88,0,7,3,4
6,78,1,5,1,4
2,77,0,7,9,3
5,41,0,5,0,2
4,82,1,8,6,4
9,78,0,4,3,4
6,93,1,9,7,5
2,60,0,7,7,2
1,79,1,7,7,3
5,76,1,6,5,4
9,98,1,9,8,5
6,57,1,8,3,3
7,93,1,7,4,5
5,87,1,4,3,4
6,85,0,8,4,4
5,51,1,7,1,2
9,56,0,4,4,3
6,76,1,6,9,4
8,85,0,6,7,4
2,77,1,4,8,3
9,54,1,8,6,3
5,46,0,4,6,2
7,53,1,9,5,3
1,89,1,4,1,4
5,40,1,6,9,2
2,77,1,6,9,3
6,42,0,6,8,2
1,76,1,9,4,3
3,83,0,7,5,4
5,70,1,9,0,3
4,82,1,7,4,4
3,52,1,9,5,2
5,87,1,5,9,4
8,57,0,7,1,3
4,56,1,8,6,3
1,56,1,8,3,2
7,50,1,6,4,3
8,59,0,9,2,3
3,49,0,4,4,2
6,68,0,6,3,3
2,87,0,4,9,4
7,73,1,9,5,4
8,56,1,6,1,3
6,93,0,6,2,4
6,91,1,8,9,5
5,81,1,4,0,4
8,52,0,5,6,3
1,83,1,5,8,4
4,86,0,6,1,4
4,78,0,9,6,3
3,66,0,6,2,3
3,93,0,8,4,4
4,92,0,4,5,4
1,65,0,6,7,2
2,67,1,9,3,3
9,52,1,5,1,3
2,51,1,4,2,2
5,83,0,6,7,4
9,67,0,4,6,4
9,41,0,8,5,2
8,76,1,5,4,4
1,96,1,9,4,4
1,96,0,4,0,4
9,73,0,5,5,4
8,62,0,6,8,3
9,97,0,9,7,5
7,91,0,9,9,5
3,84,1,7,0,4
3,68,0,4,5,3
2,74,0,5,2,3
5,50,0,4,5,2
3,87,0,6,8,4
6,72,1,6,5,3
2,90,0,9,7,4
3,50,0,9,5,2
5,48,0,5,5,2
1,53,1,8,6,2
1,48,0,4,9,2
9,78,1,4,3,4
7,87,0,6,7,5
1,42,0,4,3,1
8,68,0,5,6,4
3,58,0,7,0,2
8,75,0,9,8,4
5,71,0,6,9,4
1,46,0,9,8,1
7,94,0,9,6,5
5,67,0,9,7,3
6,83,1,7,1,4
6,57,1,4,9,3
8,99,1,8,9,5
