Hours Studied,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
3,False,7,6,36
9,False,6,7,96
1,True,9,4,62
1,False,9,2,22
4,True,6,5,21
9,False,6,6,79
6,False,7,3,82
3,True,5,8,55
1,True,4,3,22
4,True,5,9,70
9,False,5,1,37
3,False,8,8,42
9,True,4,3,64
7,False,6,3,72
4,True,5,9,42
3,False,7,0,56
5,False,5,1,43
5,False,6,2,24
3,True,5,6,55
9,False,9,8,64
4,True,8,4,34
5,True,8,3,78
4,True,5,1,71
5,True,8,6,33
7,True,7,5,46
9,True,4,6,86
7,True,5,7,34
5,True,7,8,26
7,True,9,9,44
5,False,7,4,53
3,True,7,4,61
7,False,9,3,84
2,True,6,2,40
9,False,5,6,53
1,False,5,4,67
6,False,5,6,58
7,False,4,1,41
8,False,7,8,89
9,False,5,8,85
2,True,8,8,33
2,True,6,4,20
5,True,9,9,66
5,True,9,8,38
6,True,4,0,25
3,True,9,1,43
8,False,6,9,79
1,True,7,4,16
6,False,9,4,67
4,False,9,5,80
1,False,8,7,26
7,False,7,0,57
9,False,5,9,91
4,False,6,8,29
4,True,9,3,48
6,False,8,7,84
3,False,6,4,33
6,True,4,0,82
7,True,8,8,81
3,True,4,7,24
7,True,9,4,81
3,True,8,3,54
2,True,5,7,25
4,True,6,8,53
8,False,6,6,48
9,True,7,3,40
7,False,8,6,66
1,True,8,5,29
3,True,4,2,73
9,False,8,9,89
1,True,6,2,27
9,True,8,0,40
8,True,7,4,83
1,True,7,7,69
6,True,6,5,72
5,True,6,7,77
6,True,6,6,32
5,False,8,1,49
6,True,8,7,44
5,False,5,3,57
5,False,9,4,34
4,False,9,7,76
3,False,4,4,22
3,False,8,4,30
4,False,5,5,67
9,False,5,6,71
2,True,7,8,29
9,True,8,6,74
1,True,5,5,67
1,False,7,9,46
5,True,4,3,34
6,False,7,9,76
6,False,4,1,64
3,True,9,8,46
7,False,9,9,68
9,False,6,4,58
8,True,6,4,41
6,False,7,2,64
8,True,6,2,84
5,False,8,0,70
8,False,7,4,77
4,True,5,2,60
8,True,8,1,65
2,True,7,8,21
5,False,9,9,60
9,False,4,5,48
4,True,6,2,77
6,True,6,6,63
1,True,6,8,68
9,False,7,8,81
1,False,8,0,29
5,True,4,1,66
4,True,6,7,36
3,True,8,0,29
6,False,5,2,32
2,True,9,6,31
3,True,5,7,45
5,True,4,4,65
9,False,6,1,57
2,False,5,2,58
8,True,9,8,38
2,False,8,9,22
5,True,8,6,48
7,True,5,0,59
8,True,6,2,58
1,True,9,8,62
6,False,4,6,30
1,True,6,1,56
2,True,7,5,40
1,False,5,8,59
5,True,7,3,65
9,False,5,9,43
6,True,4,1,48
1,True,6,2,24
1,True,9,6,51
2,True,6,3,81
9,False,5,6,62
3,True,8,4,43
1,False,7,7,63
5,False,9,7,73
7,False,9,4,76
6,True,6,6,43
1,False,6,5,34
5,False,5,7,57
5,False,8,8,72
6,True,7,4,47
3,True,8,6,52
5,False,9,0,49
7,False,8,7,77
5,True,5,2,41
5,False,8,0,56
5,False,7,5,89
3,False,9,7,65
1,True,4,2,49
5,False,9,0,48
9,False,4,2,47
1,True,7,4,37
3,False,9,7,48
4,True,9,8,61
1,True,9,8,77
1,True,9,3,75
8,False,5,7,57
2,False,6,4,45
8,False,9,2,82
7,False,5,4,90
2,False,7,1,42
6,False,9,5,74
6,False,8,0,60
3,False,9,5,73
2,True,9,4,40
1,False,4,8,32
6,False,8,6,67
5,True,9,5,46
9,False,9,6,65
1,True,9,9,42
7,False,5,4,69
5,False,7,0,62
5,True,4,8,75
2,True,9,4,40
3,False,7,3,43
7,True,4,5,42
6,False,4,4,84
2,False,4,0,15
6,False,9,1,39
2,False,5,3,26
2,False,9,7,73
2,False,9,4,34
3,True,7,6,34
2,True,6,1,37
4,True,6,7,34
9,False,6,4,85
6,True,7,3,31
1,False,8,8,18
8,True,7,5,92
7,False,4,3,44
3,False,9,7,72
1,False,8,2,40
5,False,4,9,31
4,False,9,1,25
8,True,9,6,44
1,False,4,3,27
1,True,7,3,66
4,False,6,9,34
8,False,8,8,70
5,False,9,1,81
2,True,5,0,56
6,False,9,6,30
5,True,6,7,60
2,False,9,2,64
3,True,5,1,74
9,True,7,3,52
7,True,9,1,84
7,False,8,1,66
6,False,7,4,32
8,True,5,9,47
4,False,4,4,51
8,False,9,7,67
4,False,7,8,57
8,True,9,1,71
9,True,8,0,86
3,False,9,2,77
3,True,7,5,72
2,False,6,4,24
3,False,7,7,60
3,True,5,7,55
5,True,7,1,54
5,False,8,8,39
2,False,7,3,19
6,False,7,0,68
5,True,8,1,83
6,True,7,5,72
1,False,8,4,49
5,False,5,6,74
9,True,8,8,86
2,False,5,5,26
1,True,5,5,60
9,True,8,1,54
9,False,7,6,73
9,False,9,1,61
6,True,6,6,45
8,False,9,7,57
1,True,8,0,68
4,True,7,8,72
1,True,5,7,17
8,False,4,8,37
1,False,6,4,54
3,False,9,3,22
4,True,7,0,73
8,True,6,8,47
6,True,4,3,63
7,True,4,3,63
8,False,4,3,68
2,False,9,1,52
8,False,8,3,64
3,True,6,1,38
7,True,8,7,60
3,False,4,6,45
7,True,7,9,39
2,False,4,1,75
6,True,8,1,67
3,True,4,1,48
3,True,4,0,44
9,True,8,5,37
7,True,8,5,41
5,False,7,0,47
7,False,8,0,45
9,False,7,5,43
1,True,5,5,54
7,False,5,3,32
6,False,8,2,64
9,True,4,8,74
1,True,6,5,50
4,False,4,0,33
9,False,8,2,36
4,False,7,0,45
3,False,4,2,58
9,False,5,1,85
2,True,9,4,41
4,False,8,2,78
6,False,4,6,63
2,False,9,7,76
8,False,4,6,51
8,False,7,1,36
1,False,7,9,74
3,True,7,9,65
9,True,9,6,65
5,True,6,9,79
6,False,9,2,46
4,False,8,6,47
2,True,8,0,42
8,False,5,1,46
6,False,5,9,34
5,False,8,0,27
9,True,4,8,52
1,True,8,1,17
5,True,6,1,53
6,False,5,5,84
5,True,5,6,39
6,True,9,1,44
6,True,5,3,36
7,False,8,2,81
4,True,5,4,30
8,True,5,8,80
7,False,9,1,41
9,True,8,4,77
7,False,4,7,69
3,False,5,5,34
3,True,5,3,64
8,True,5,9,78
5,True,6,7,74
4,False,8,2,52
8,True,5,3,76
6,True,6,8,53
2,True,4,4,46
4,False,4,5,77
4,False,9,1,59
6,False,9,8,35
6,True,9,7,61
1,True,6,6,46
8,False,4,8,97
6,True,9,4,86
3,True,7,4,24
9,False,9,8,37
2,False,4,4,18
8,False,7,8,84
3,True,6,0,59
5,True,7,9,29
6,True,4,9,84
6,False,5,7,60
4,False,7,2,78
3,True,4,7,46
4,False,9,4,31
1,False,5,1,68
4,True,6,8,25
1,False,6,3,37
1,True,8,6,62
6,False,6,7,69
5,True,8,6,50
4,False,6,5,55
3,True,6,6,54
1,False,6,3,12
6,False,8,9,88
2,False,9,0,69
8,False,8,4,88
5,False,7,7,41
7,True,4,9,83
2,True,4,5,62
8,True,9,4,45
2,False,4,1,42
4,True,6,9,65
1,False,9,4,73
5,False,4,9,23
9,True,8,2,61
1,True,7,1,41
9,False,5,2,85
8,False,7,3,93
6,True,4,1,35
7,True,9,3,92
3,False,4,3,79
1,False,8,5,57
5,True,7,4,49
2,False,8,6,28
5,False,8,6,85
8,True,5,2,82
9,True,8,8,80
2,False,8,6,41
3,False,5,6,57
3,True,6,1,41
1,False,6,9,43
8,True,9,2,73
6,False,5,2,46
8,True,9,5,61
9,False,9,3,61
5,False,8,3,87
3,False,9,0,78
5,True,4,5,43
5,True,7,7,75
5,True,4,7,72
3,False,4,7,18
4,False,8,4,36
9,True,7,9,92
9,True,9,5,71
2,False,7,4,58
8,False,9,3,69
8,False,6,3,58
7,False,5,3,74
8,True,8,3,72
3,True,9,5,61
6,False,9,5,74
1,False,7,4,60
7,False,8,8,70
1,True,9,7,27
9,True,6,9,49
1,False,4,5,17
1,False,9,8,34
7,False,7,4,51
2,False,6,9,27
5,False,8,3,67
8,False,9,5,84
8,True,6,3,81
3,True,6,7,45
7,True,6,6,50
3,False,6,4,67
6,False,6,9,67
6,False,6,5,77
3,True,5,6,70
7,False,8,1,59
3,True,4,8,27
8,False,8,6,88
4,False,7,7,60
1,False,7,4,14
4,True,8,2,27
7,True,6,1,54
4,True,5,1,32
6,False,4,2,79
9,True,9,0,44
1,False,9,0,20
5,False,6,6,42
7,True,8,9,33
1,True,9,7,58
4,False,8,5,31
6,False,5,6,75
2,False,5,0,22
5,False,8,0,46
1,True,6,8,68
6,True,6,4,66
6,True,6,6,60
4,False,9,5,44
8,False,4,3,90
4,False,4,0,47
8,True,6,3,88
8,False,8,9,56
5,False,5,9,66
4,True,7,7,78
2,True,5,0,43
3,False,5,1,72
3,True,7,7,69
4,False,6,1,24
4,True,5,9,47
5,False,7,8,45
4,True,9,2,72
8,True,8,2,51
6,True,8,5,73
6,True,8,2,28
8,False,6,8,56
7,False,5,7,29
8,True,5,3,60
2,False,4,5,28
9,True,8,7,66
1,True,6,3,21
8,False,7,4,84
4,False,6,6,42
4,False,5,7,51
5,False,8,6,74
8,False,4,7,50
5,False,9,3,62
8,False,6,0,90
1,True,4,5,32
9,False,5,4,71
6,True,7,3,37
3,False,6,1,42
8,False,9,0,85
9,True,5,8,96
6,True,8,1,51
7,True,6,8,82
1,True,4,5,64
5,False,6,5,67
5,False,5,1,32
4,True,5,5,50
6,True,4,2,73
7,False,9,6,62
9,False,5,9,48
1,True,6,3,20
6,False,9,8,33
7,False,4,4,43
3,True,5,9,49
8,True,5,2,70
5,True,6,0,28
9,True,5,0,82
5,False,6,3,29
9,True,8,9,42
4,False,9,9,79
9,False,6,3,41
5,False,7,8,61
9,False,5,7,69
3,True,8,3,68
4,False,9,5,38
9,True,4,6,67
6,False,7,9,54
2,True,4,7,39
7,False,7,3,93
2,False,8,0,76
2,True,9,4,39
1,True,8,0,38
3,True,8,3,69
6,True,7,6,88
8,False,6,6,54
9,False,9,0,68
7,False,4,8,33
4,False,6,1,40
6,False,6,4,87
5,True,5,5,64
8,True,4,0,70
1,False,7,1,70
1,True,5,6,72
6,False,5,5,38
2,False,8,5,71
5,True,7,5,40
1,False,6,6,58
7,True,9,9,77
1,False,6,8,38
4,True,6,8,60
9,False,8,1,57
1,False,6,1,63
4,True,4,4,82
6,False,6,9,84
6,False,6,6,84
8,True,4,2,77
1,True,8,2,61
7,True,5,3,73
1,False,7,2,15
7,True,8,2,64
3,True,6,7,33
8,True,5,6,78
3,False,7,6,43
1,True,7,9,34
8,False,7,1,48
3,False,4,8,66
2,True,4,5,60
1,False,5,2,53
3,False,6,8,51
2,False,5,8,43
2,False,6,5,68
6,False,8,9,80
1,True,7,5,26
2,True,7,7,70
6,True,4,7,85
3,False,8,5,57
4,True,9,6,30
1,False,8,3,56
8,False,6,0,53
7,False,8,3,52
7,False,4,7,47
3,True,6,7,48
3,False,5,1,78
2,True,6,6,79
1,True,5,0,75
7,False,9,1,40
7,True,6,7,59
2,True,7,9,49
7,True,9,3,48
8,False,5,2,60
1,False,4,1,29
9,False,9,5,68
7,True,9,3,63
3,True,9,2,71
8,False,5,2,76
7,False,5,9,57
8,True,6,2,54
6,False,7,7,61
9,False,9,8,34
5,True,6,8,32
3,True,6,4,23
3,False,7,0,44
1,False,6,9,18
8,False,7,4,82
2,False,4,0,18
3,True,7,8,52
8,False,8,9,88
8,False,7,7,78
4,True,7,6,26
4,True,8,1,26
5,True,7,1,74
6,True,5,3,52
5,True,6,8,40
7,True,6,8,54
2,True,4,7,51
7,False,4,4,35
7,False,8,6,79
1,True,5,8,45
7,False,4,2,81
5,False,6,3,87
3,True,4,1,56
3,True,4,8,65
4,True,7,6,38
2,True,4,5,17
2,True,8,4,35
1,False,6,6,20
5,False,8,2,75
4,True,8,4,26
2,True,9,1,23
3,False,5,4,38
7,False,9,6,78
7,False,9,9,91
4,True,7,6,67
5,True,8,8,31
5,False,5,2,49
6,True,6,7,57
9,False,6,4,45
2,True,5,6,22
5,True,8,0,35
3,False,8,0,65
4,False,7,3,53
6,True,7,4,79
8,False,9,9,57
1,True,6,2,58
8,False,7,5,50
7,False,5,2,75
1,True,6,4,17
2,True,8,0,70
3,True,6,2,36
1,False,4,6,61
9,False,6,2,78
8,True,7,4,71
2,False,5,6,36
9,True,8,1,63
7,True,8,2,78
9,True,7,3,39
6,True,7,4,70
6,True,7,8,34
4,False,4,8,49
2,False,5,3,71
7,True,4,8,34
5,False,7,3,77
6,True,5,1,67
2,False,7,9,52
5,False,5,0,25
4,True,8,6,68
9,False,4,3,76
6,True,9,7,85
2,False,7,7,40
1,True,7,7,56
5,True,6,5,62
9,True,9,8,99
6,True,8,3,46
7,True,7,4,86
5,True,4,3,73
6,False,8,4,74
5,True,7,1,37
9,False,4,4,50
6,True,6,9,65
8,False,6,7,79
2,True,4,8,53
9,True,8,6,55
5,False,4,6,31
7,True,9,5,47
1,True,4,1,63
5,True,6,9,27
2,True,6,9,53
6,False,6,8,33
1,True,9,4,56
3,False,7,5,65
5,True,9,0,55
4,True,7,4,67
3,True,9,5,32
5,True,5,9,73
8,False,7,1,45
4,True,8,6,43
1,True,8,3,32
7,True,6,4,42
8,False,9,2,55
3,False,4,4,28
6,False,6,3,58
2,False,4,9,67
7,True,9,5,66
8,True,6,1,46
6,False,6,2,79
6,True,8,9,83
5,True,4,0,63
8,False,5,6,45
1,True,5,8,63
4,False,6,1,70
4,False,9,6,58
3,False,6,2,50
3,False,8,4,77
4,False,4,5,75
1,False,6,7,40
2,True,9,3,43
9,True,5,1,47
2,True,4,2,22
5,False,6,7,71
9,False,4,6,63
9,False,8,5,37
8,True,5,4,72
1,True,9,4,73
1,False,4,0,72
9,False,5,5,68
8,False,6,8,59
9,False,9,7,97
7,False,9,9,83
3,True,7,0,65
3,False,4,5,47
2,False,5,2,51
5,False,4,5,32
3,False,6,8,63
6,True,6,5,60
2,False,9,7,70
3,False,9,5,32
5,False,5,5,32
1,True,8,6,29
1,False,4,9,21
9,True,4,3,74
7,False,6,7,81
1,False,4,3,11
8,False,5,6,65
3,False,7,0,37
8,False,9,8,75
5,False,6,9,61
1,False,9,8,17
7,False,9,6,87
5,False,9,7,52
6,True,7,1,71
6,True,4,9,46
8,True,8,9,99
9,True,9,6,40
2,False,5,0,42
9,False,9,2,91
9,True,9,5,57
7,True,4,4,58
1,True,5,4,55
7,True,4,8,46
5,False,9,5,64
6,True,4,2,45
7,False,4,1,78
5,False,6,8,24
7,False,7,9,36
9,True,8,3,65
3,True,7,4,35
8,False,7,8,87
2,True,5,4,45
7,True,6,6,35
2,False,6,1,18
4,False,4,1,46
7,True,7,3,63
3,False,8,7,62
2,True,5,1,35
7,True,6,9,63
1,False,4,6,58
8,False,8,0,37
3,True,7,8,74
2,False,8,9,40
3,True,6,5,78
5,False,5,0,38
8,True,7,9,55
7,False,5,5,39
7,True,9,4,84
7,True,8,4,60
8,False,8,4,47
1,True,4,3,34
4,True,7,6,54
6,True,8,8,56
9,True,6,3,82
2,True,9,1,45
1,False,6,1,45
2,True,5,1,43
7,True,9,6,57
3,True,9,3,56
2,False,6,3,56
7,False,8,0,30
2,True,6,3,75
3,True,7,5,33
7,False,5,1,80
4,False,9,3,27
1,True,7,6,26
5,False,8,8,81
9,True,8,1,41
8,True,6,7,34
9,True,4,5,68
9,False,9,7,83
7,True,9,1,44
4,True,4,0,75
5,False,8,6,52
1,True,8,8,56
1,True,9,8,37
3,True,5,1,67
8,False,9,3,50
2,False,8,0,46
4,True,8,6,31
2,False,5,1,51
5,True,7,3,82
9,True,7,1,58
1,False,5,0,31
5,False,5,6,29
9,True,7,5,40
1,False,7,1,51
9,False,7,3,79
8,False,7,2,52
4,True,9,2,36
5,True,9,2,43
5,False,6,3,81
6,True,5,0,81
7,True,4,0,84
8,False,6,6,55
8,True,4,4,64
2,False,4,2,68
9,True,8,8,41
7,True,5,4,53
4,False,9,9,50
4,True,6,2,65
8,False,5,8,78
4,True,7,0,31
6,True,5,8,30
5,True,4,4,64
3,False,9,5,26
2,True,7,1,66
9,True,5,7,55
9,False,5,2,52
1,False,9,0,57
3,True,4,6,68
8,False,7,2,57
6,False,4,3,75
5,False,9,4,54
5,False,5,0,82
6,True,6,8,51
7,False,6,6,43
1,True,8,1,68
9,True,6,0,77
3,True,9,1,33
4,False,9,2,37
1,False,9,2,23
3,True,7,7,26
2,True,8,4,56
2,False,7,8,42
1,False,6,2,65
8,True,6,5,66
3,False,5,3,57
3,False,7,7,59
6,True,4,0,28
8,False,5,3,46
9,False,7,6,84
9,True,9,8,42
4,False,8,0,73
5,True,7,7,77
2,False,8,1,74
9,True,8,3,75
8,False,6,3,94
3,True,4,7,27
9,False,7,1,89
3,False,4,6,62
9,False,8,2,59
2,True,6,8,73
9,False,4,4,57
8,True,5,7,90
9,False,8,4,80
5,False,5,0,50
2,False,9,8,18
8,False,4,9,68
6,False,4,6,39
8,False,4,3,67
5,True,9,6,69
2,True,7,4,43
6,False,8,9,84
5,False,8,8,50
5,False,8,1,65
1,False,7,3,74
2,False,4,5,35
8,True,4,4,61
3,False,9,0,64
3,False,5,8,66
8,True,7,8,81
8,True,6,2,93
2,True,7,3,28
8,False,9,3,71
1,False,5,9,13
6,False,5,7,59
8,False,5,5,67
3,False,4,1,35
8,True,6,3,46
1,False,5,0,59
9,False,8,2,57
9,False,4,3,51
5,True,6,7,80
4,False,8,2,22
6,False,6,4,71
7,False,9,0,73
5,False,6,3,40
9,True,8,1,75
3,True,7,3,24
7,True,6,4,45
5,False,7,2,25
7,True,6,5,42
2,True,9,1,63
4,False,8,4,44
2,False,6,3,26
7,True,5,4,31
2,True,9,8,26
1,True,5,5,15
9,True,9,6,77
1,False,9,7,31
8,False,6,8,75
2,True,8,4,34
8,True,8,7,74
3,True,4,1,68
6,False,8,9,64
3,False,7,8,43
7,False,6,1,54
9,True,5,4,53
2,False,8,5,56
5,True,5,3,34
6,True,4,7,27
4,False,6,9,66
4,True,8,2,41
4,False,5,4,25
2,False,9,1,20
4,True,8,2,45
1,True,4,7,70
6,False,9,4,86
1,False,5,2,46
6,False,5,4,73
1,False,6,8,42
6,False,6,2,27
8,False,5,9,64
2,False,9,6,71
2,True,6,7,56
4,False,5,4,43
3,True,9,2,50
4,True,7,5,31
7,False,8,2,42
1,False,7,8,60
6,False,7,1,76
3,False,8,2,28
7,False,5,6,45
2,True,5,9,71
2,True,6,7,44
4,False,4,4,48
1,False,5,4,57
3,False,8,4,61
9,False,4,3,86
7,True,8,8,95
7,True,8,5,70
4,True,8,7,81
2,False,4,7,18
4,False,7,4,24
6,False,9,8,32
3,True,8,1,40
1,True,6,7,25
8,True,5,2,41
5,False,9,6,66
5,True,5,8,83
4,False,5,4,22
6,True,4,7,70
3,False,6,3,42
9,False,6,0,56
5,False,9,0,72
3,False,6,5,31
1,True,6,7,60
6,True,6,9,74
