Hours Studied,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Performance Index Faixa,Sample Question Papers Practiced Faixa,Hours Studied Faixa,Extracurricular Activities Faixa,Sleep Hours Faixa
2,1,2,1,27,1,1,1,1,1
1,1,4,3,33,1,1,1,1,1
1,1,3,4,37,1,1,1,1,1
1,0,5,2,29,1,1,1,1,1
3,0,5,3,26,1,1,1,1,1
3,0,2,2,72,2,1,1,1,1
4,1,2,4,77,2,1,1,1,1
5,1,5,1,45,1,1,1,1,1
5,0,5,4,41,1,1,1,1,1
2,1,4,1,73,2,1,1,1,1
2,1,1,2,43,1,1,1,1,1
2,1,1,3,39,1,1,1,1,1
2,1,3,4,54,2,1,1,1,1
4,1,5,3,62,2,1,1,1,1
3,0,1,4,63,2,1,1,1,1
4,0,3,3,59,2,1,1,1,1
1,0,3,1,46,1,1,1,1,1
4,0,2,3,42,1,1,1,1,1
2,0,2,1,30,1,1,1,1,1
1,1,5,4,63,2,1,1,1,1
4,1,4,2,89,3,1,1,1,1
2,1,5,3,62,2,1,1,1,1
3,0,5,1,77,2,1,1,1,1
4,1,5,4,88,3,1,1,1,1
2,1,3,2,35,1,1,1,1,1
2,1,5,2,60,2,1,1,1,1
5,0,5,1,92,3,1,1,1,1
2,1,3,2,38,1,1,1,1,1
5,1,5,2,56,2,1,1,1,1
1,0,4,4,70,2,1,1,1,1
1,0,2,5,35,1,1,1,1,1
1,1,2,3,47,1,1,1,1,1
3,0,3,5,66,2,1,1,1,1
2,1,5,1,43,1,1,1,1,1
5,0,5,4,81,3,1,1,1,1
2,1,1,4,43,1,1,1,1,1
1,1,4,3,46,1,1,1,1,1
2,0,5,2,61,2,1,1,1,1
1,0,1,5,27,1,1,1,1,1
3,0,4,2,77,2,1,1,1,1
2,0,4,1,43,1,1,1,1,1
4,1,2,1,60,2,1,1,1,1
4,0,3,2,48,1,1,1,1,1
4,1,5,1,47,1,1,1,1,1
2,1,4,3,60,2,1,1,1,1
1,1,5,4,53,2,1,1,1,1
1,0,4,3,19,1,1,1,1,1
2,1,5,3,23,1,1,1,1,1
3,1,2,4,81,3,1,1,1,1
4,0,3,3,41,1,1,1,1,1
3,1,1,4,71,2,1,1,1,1
3,1,1,5,75,2,1,1,1,1
3,1,5,1,89,3,1,1,1,1
2,0,2,1,28,1,1,1,1,1
3,1,4,1,60,2,1,1,1,1
4,1,2,4,54,2,1,1,1,1
1,1,3,2,41,1,1,1,1,1
3,0,1,5,52,2,1,1,1,1
1,0,5,3,53,2,1,1,1,1
1,0,1,4,52,2,1,1,1,1
3,1,3,4,47,1,1,1,1,1
2,1,4,4,71,2,1,1,1,1
2,1,2,2,42,1,1,1,1,1
2,1,1,2,21,1,1,1,1,1
1,1,1,2,48,1,1,1,1,1
1,0,5,5,64,2,1,1,1,1
3,1,2,4,38,1,1,1,1,1
3,1,5,2,49,1,1,1,1,1
2,0,5,4,35,1,1,1,1,1
5,0,4,1,73,2,1,1,1,1
3,1,1,3,81,3,1,1,1,1
4,0,5,3,47,1,1,1,1,1
1,0,2,4,36,1,1,1,1,1
3,0,4,3,63,2,1,1,1,1
2,1,5,5,52,2,1,1,1,1
1,0,4,2,58,2,1,1,1,1
2,1,4,5,77,2,1,1,1,1
3,0,3,1,58,2,1,1,1,1
4,1,3,2,33,1,1,1,1,1
1,1,4,2,67,2,1,1,1,1
2,1,3,3,76,2,1,1,1,1
1,0,2,5,62,2,1,1,1,1
5,0,1,4,37,1,1,1,1,1
3,0,5,4,86,3,1,1,1,1
2,1,2,4,37,1,1,1,1,1
4,0,1,3,88,3,1,1,1,1
4,0,3,3,38,1,1,1,1,1
1,1,5,3,76,2,1,1,1,1
3,0,2,2,57,2,1,1,1,1
4,1,5,5,82,3,1,1,1,1
1,0,4,2,35,1,1,1,1,1
1,1,1,3,41,1,1,1,1,1
1,1,1,4,75,2,1,1,1,1
4,0,5,2,51,2,1,1,1,1
1,1,5,2,34,1,1,1,1,1
5,0,4,3,92,3,1,1,1,1
3,0,3,1,39,1,1,1,1,1
4,0,2,4,56,2,1,1,1,1
4,0,2,1,69,2,1,1,1,1
2,1,2,5,69,2,1,1,1,1
1,1,3,5,40,1,1,1,1,1
5,1,4,5,63,2,1,1,1,1
4,0,2,5,86,3,1,1,1,1
4,0,1,5,89,3,1,1,1,1
5,1,1,2,94,3,1,1,1,1
2,1,1,1,79,2,1,1,1,1
2,0,5,4,44,1,1,1,1,1
1,0,5,2,33,1,1,1,1,1
4,0,3,3,36,1,1,1,1,1
2,1,2,1,50,2,1,1,1,1
4,0,5,5,94,3,1,1,1,1
1,1,1,3,22,1,1,1,1,1
1,0,5,4,44,1,1,1,1,1
4,1,1,2,60,2,1,1,1,1
3,0,2,5,64,2,1,1,1,1
2,1,3,1,58,2,1,1,1,1
5,1,4,5,78,2,1,1,1,1
3,1,4,4,51,2,1,1,1,1
3,0,1,1,30,1,1,1,1,1
1,1,5,1,29,1,1,1,1,1
2,1,5,2,22,1,1,1,1,1
3,0,1,2,51,2,1,1,1,1
3,1,2,3,45,1,1,1,1,1
3,1,1,2,70,2,1,1,1,1
1,0,2,5,10,1,1,1,1,1
4,1,3,2,38,1,1,1,1,1
3,0,3,1,30,1,1,1,1,1
3,1,1,4,82,3,1,1,1,1
4,0,3,5,74,2,1,1,1,1
2,1,5,3,87,3,1,1,1,1
3,1,2,1,77,2,1,1,1,1
2,1,4,1,72,2,1,1,1,1
2,0,4,2,51,2,1,1,1,1
4,1,3,4,40,1,1,1,1,1
4,1,2,4,72,2,1,1,1,1
2,0,5,5,68,2,1,1,1,1
1,0,4,5,22,1,1,1,1,1
2,0,5,5,67,2,1,1,1,1
1,1,5,5,18,1,1,1,1,1
4,1,4,4,64,2,1,1,1,1
2,1,4,4,66,2,1,1,1,1
4,0,3,1,50,2,1,1,1,1
3,0,2,1,68,2,1,1,1,1
3,1,1,3,44,1,1,1,1,1
4,1,2,4,90,3,1,1,1,1
5,0,1,1,41,1,1,1,1,1
3,0,4,2,83,3,1,1,1,1
1,0,5,1,57,2,1,1,1,1
1,1,2,5,64,2,1,1,1,1
1,0,5,5,18,1,1,1,1,1
3,0,2,4,62,2,1,1,1,1
5,0,5,4,66,2,1,1,1,1
4,0,2,5,85,3,1,1,1,1
3,1,5,2,62,2,1,1,1,1
1,0,5,5,62,2,1,1,1,1
4,1,3,1,62,2,1,1,1,1
3,1,4,3,26,1,1,1,1,1
3,0,3,3,66,2,1,1,1,1
4,0,3,2,43,1,1,1,1,1
2,1,2,3,30,1,1,1,1,1
2,0,4,3,25,1,1,1,1,1
3,1,5,2,77,2,1,1,1,1
3,0,2,1,88,3,1,1,1,1
5,1,1,5,62,2,1,1,1,1
3,1,2,4,82,3,1,1,1,1
1,1,5,2,73,2,1,1,1,1
2,0,5,3,44,1,1,1,1,1
3,1,2,2,40,1,1,1,1,1
3,1,1,4,39,1,1,1,1,1
4,0,2,2,34,1,1,1,1,1
2,0,5,1,27,1,1,1,1,1
1,1,1,4,73,2,1,1,1,1
3,1,4,2,46,1,1,1,1,1
4,0,5,5,78,2,1,1,1,1
3,1,2,2,80,3,1,1,1,1
3,0,1,4,33,1,1,1,1,1
2,0,5,1,68,2,1,1,1,1
1,0,4,5,45,1,1,1,1,1
2,1,5,1,56,2,1,1,1,1
2,0,3,2,58,2,1,1,1,1
1,1,1,1,37,1,1,1,1,1
4,1,5,4,88,3,1,1,1,1
3,0,4,3,75,2,1,1,1,1
2,0,5,4,70,2,1,1,1,1
4,0,2,1,62,2,1,1,1,1
4,0,3,4,57,2,1,1,1,1
1,1,1,4,32,1,1,1,1,1
1,1,5,3,53,2,1,1,1,1
2,0,4,1,82,3,1,1,1,1
4,1,3,5,41,1,1,1,1,1
1,0,4,4,75,2,1,1,1,1
2,1,5,5,63,2,1,1,1,1
1,1,4,2,17,1,1,1,1,1
1,1,4,2,24,1,1,1,1,1
2,0,5,4,69,2,1,1,1,1
3,1,5,3,47,1,1,1,1,1
2,1,3,5,43,1,1,1,1,1
1,1,1,1,48,1,1,1,1,1
1,1,5,3,17,1,1,1,1,1
4,0,3,3,75,2,1,1,1,1
1,1,4,4,54,2,1,1,1,1
2,0,4,2,59,2,1,1,1,1
1,0,5,4,56,2,1,1,1,1
2,1,2,4,20,1,1,1,1,1
4,1,5,2,34,1,1,1,1,1
1,0,3,1,54,2,1,1,1,1
4,0,5,2,83,3,1,1,1,1
1,0,3,1,59,2,1,1,1,1
2,1,1,2,63,2,1,1,1,1
5,1,5,3,72,2,1,1,1,1
4,0,3,1,70,2,1,1,1,1
2,0,5,3,41,1,1,1,1,1
3,0,3,1,54,2,1,1,1,1
1,1,2,2,21,1,1,1,1,1
4,1,4,3,83,3,1,1,1,1
2,0,4,5,64,2,1,1,1,1
5,1,5,5,51,2,1,1,1,1
3,0,3,3,66,2,1,1,1,1
5,1,3,5,83,3,1,1,1,1
2,0,3,1,26,1,1,1,1,1
3,1,3,4,49,1,1,1,1,1
5,1,2,3,85,3,1,1,1,1
4,1,5,5,95,3,1,1,1,1
2,1,2,5,56,2,1,1,1,1
1,1,2,5,50,2,1,1,1,1
2,1,2,2,23,1,1,1,1,1
2,1,4,1,26,1,1,1,1,1
1,0,2,5,30,1,1,1,1,1
1,0,3,5,28,1,1,1,1,1
4,0,2,4,48,1,1,1,1,1
4,1,3,3,46,1,1,1,1,1
4,1,5,3,73,2,1,1,1,1
3,1,5,5,45,1,1,1,1,1
1,0,4,3,76,2,1,1,1,1
4,0,5,1,71,2,1,1,1,1
4,0,5,5,60,2,1,1,1,1
5,0,5,3,77,2,1,1,1,1
2,0,4,4,36,1,1,1,1,1
5,0,3,4,96,3,1,1,1,1
1,1,5,3,62,2,1,1,1,1
1,0,5,2,22,1,1,1,1,1
2,1,3,3,21,1,1,1,1,1
5,0,3,4,79,2,1,1,1,1
3,0,4,2,82,3,1,1,1,1
2,1,2,5,55,2,1,1,1,1
1,1,1,2,22,1,1,1,1,1
2,1,2,5,70,2,1,1,1,1
5,0,2,1,37,1,1,1,1,1
2,0,5,5,42,1,1,1,1,1
5,1,1,2,64,2,1,1,1,1
4,0,3,2,72,2,1,1,1,1
2,1,2,5,42,1,1,1,1,1
2,0,4,1,56,2,1,1,1,1
3,0,2,1,43,1,1,1,1,1
3,0,3,2,24,1,1,1,1,1
2,1,2,4,55,2,1,1,1,1
5,0,5,5,64,2,1,1,1,1
2,1,5,3,34,1,1,1,1,1
3,1,5,2,78,2,1,1,1,1
2,1,2,1,71,2,1,1,1,1
3,1,5,4,33,1,1,1,1,1
4,1,4,3,46,1,1,1,1,1
5,1,1,4,86,3,1,1,1,1
4,1,2,4,34,1,1,1,1,1
3,1,4,5,26,1,1,1,1,1
4,1,5,5,44,1,1,1,1,1
3,0,4,3,53,2,1,1,1,1
2,1,4,3,61,2,1,1,1,1
4,0,5,2,84,3,1,1,1,1
1,1,3,2,40,1,1,1,1,1
5,0,2,4,53,2,1,1,1,1
1,0,2,3,67,2,1,1,1,1
3,0,2,4,58,2,1,1,1,1
4,0,1,1,41,1,1,1,1,1
4,0,4,5,89,3,1,1,1,1
5,0,2,5,85,3,1,1,1,1
1,1,5,5,33,1,1,1,1,1
1,1,3,3,20,1,1,1,1,1
3,1,5,5,66,2,1,1,1,1
3,1,5,5,38,1,1,1,1,1
3,1,1,1,25,1,1,1,1,1
2,1,5,1,43,1,1,1,1,1
4,0,3,5,79,2,1,1,1,1
1,1,4,3,16,1,1,1,1,1
3,0,5,3,67,2,1,1,1,1
2,0,5,3,80,3,1,1,1,1
1,0,5,4,26,1,1,1,1,1
4,0,4,1,57,2,1,1,1,1
5,0,2,5,91,3,1,1,1,1
2,0,3,5,29,1,1,1,1,1
2,1,5,2,48,1,1,1,1,1
3,0,5,4,84,3,1,1,1,1
2,0,3,3,33,1,1,1,1,1
3,1,1,1,82,3,1,1,1,1
4,1,5,5,81,3,1,1,1,1
2,1,1,4,24,1,1,1,1,1
4,1,5,3,81,3,1,1,1,1
2,1,5,2,54,2,1,1,1,1
1,1,2,4,25,1,1,1,1,1
2,1,3,5,53,2,1,1,1,1
4,0,3,4,48,1,1,1,1,1
5,1,4,2,40,1,1,1,1,1
4,0,5,4,66,2,1,1,1,1
1,1,5,3,29,1,1,1,1,1
2,1,1,2,73,2,1,1,1,1
5,0,5,5,89,3,1,1,1,1
1,1,3,2,27,1,1,1,1,1
5,1,5,1,40,1,1,1,1,1
4,1,4,3,83,3,1,1,1,1
1,1,4,4,69,2,1,1,1,1
3,1,3,3,72,2,1,1,1,1
3,1,3,4,77,2,1,1,1,1
3,1,3,4,32,1,1,1,1,1
3,0,5,1,49,1,1,1,1,1
3,1,5,4,44,1,1,1,1,1
3,0,2,2,57,2,1,1,1,1
3,0,5,3,34,1,1,1,1,1
2,0,5,4,76,2,1,1,1,1
2,0,1,3,22,1,1,1,1,1
2,0,5,3,30,1,1,1,1,1
2,0,2,3,67,2,1,1,1,1
5,0,2,4,71,2,1,1,1,1
1,1,4,5,29,1,1,1,1,1
5,1,5,4,74,2,1,1,1,1
1,1,2,3,67,2,1,1,1,1
1,0,4,5,46,1,1,1,1,1
3,1,1,2,34,1,1,1,1,1
3,0,4,5,76,2,1,1,1,1
3,0,1,1,64,2,1,1,1,1
2,1,5,5,46,1,1,1,1,1
4,0,5,5,68,2,1,1,1,1
5,0,3,3,58,2,1,1,1,1
4,1,3,3,41,1,1,1,1,1
3,0,4,2,64,2,1,1,1,1
4,1,3,2,84,3,1,1,1,1
3,0,5,1,70,2,1,1,1,1
4,0,4,3,77,2,1,1,1,1
2,1,2,2,60,2,1,1,1,1
4,1,5,1,65,2,1,1,1,1
1,1,4,5,21,1,1,1,1,1
3,0,5,5,60,2,1,1,1,1
5,0,1,3,48,1,1,1,1,1
2,1,3,2,77,2,1,1,1,1
3,1,3,4,63,2,1,1,1,1
1,1,3,5,68,2,1,1,1,1
5,0,4,5,81,3,1,1,1,1
1,0,5,1,29,1,1,1,1,1
3,1,1,1,66,2,1,1,1,1
2,1,3,4,36,1,1,1,1,1
2,1,5,1,29,1,1,1,1,1
3,0,2,2,32,1,1,1,1,1
1,1,5,4,31,1,1,1,1,1
2,1,2,4,45,1,1,1,1,1
3,1,1,3,65,2,1,1,1,1
5,0,3,1,57,2,1,1,1,1
1,0,2,2,58,2,1,1,1,1
4,1,5,5,38,1,1,1,1,1
1,0,5,5,22,1,1,1,1,1
3,1,5,4,48,1,1,1,1,1
4,1,2,1,59,2,1,1,1,1
4,1,3,2,58,2,1,1,1,1
1,1,5,5,62,2,1,1,1,1
3,0,1,4,30,1,1,1,1,1
1,1,3,1,56,2,1,1,1,1
1,1,4,3,40,1,1,1,1,1
1,0,2,5,59,2,1,1,1,1
3,1,4,2,65,2,1,1,1,1
5,0,2,5,43,1,1,1,1,1
3,1,1,1,48,1,1,1,1,1
1,1,3,2,24,1,1,1,1,1
1,1,5,4,51,2,1,1,1,1
1,1,3,2,81,3,1,1,1,1
5,0,2,4,62,2,1,1,1,1
2,1,5,3,43,1,1,1,1,1
1,0,4,4,63,2,1,1,1,1
3,0,5,4,73,2,1,1,1,1
4,0,5,3,76,2,1,1,1,1
3,1,3,4,43,1,1,1,1,1
1,0,3,3,34,1,1,1,1,1
3,0,2,4,57,2,1,1,1,1
3,0,5,5,72,2,1,1,1,1
3,1,4,3,47,1,1,1,1,1
2,1,5,4,52,2,1,1,1,1
3,0,5,1,49,1,1,1,1,1
4,0,5,4,77,2,1,1,1,1
3,1,2,2,41,1,1,1,1,1
3,0,5,1,56,2,1,1,1,1
3,0,4,3,89,3,1,1,1,1
2,0,5,4,65,2,1,1,1,1
1,1,1,2,49,1,1,1,1,1
3,0,5,1,48,1,1,1,1,1
5,0,1,2,47,1,1,1,1,1
1,1,4,3,37,1,1,1,1,1
2,0,5,4,48,1,1,1,1,1
2,1,5,5,61,2,1,1,1,1
1,1,5,5,77,2,1,1,1,1
1,1,5,2,75,2,1,1,1,1
4,0,2,4,57,2,1,1,1,1
1,0,3,3,45,1,1,1,1,1
4,0,5,2,82,3,1,1,1,1
4,0,2,3,90,3,1,1,1,1
1,0,4,1,42,1,1,1,1,1
3,0,5,3,74,2,1,1,1,1
3,0,5,1,60,2,1,1,1,1
2,0,5,3,73,2,1,1,1,1
1,1,5,3,40,1,1,1,1,1
1,0,1,5,32,1,1,1,1,1
3,0,5,4,67,2,1,1,1,1
3,1,5,3,46,1,1,1,1,1
5,0,5,4,65,2,1,1,1,1
1,1,5,5,42,1,1,1,1,1
4,0,2,3,69,2,1,1,1,1
3,0,4,1,62,2,1,1,1,1
3,1,1,5,75,2,1,1,1,1
1,1,5,3,40,1,1,1,1,1
2,0,4,2,43,1,1,1,1,1
4,1,1,3,42,1,1,1,1,1
3,0,1,3,84,3,1,1,1,1
1,0,1,1,15,1,1,1,1,1
3,0,5,1,39,1,1,1,1,1
1,0,2,2,26,1,1,1,1,1
1,0,5,4,73,2,1,1,1,1
1,0,5,3,34,1,1,1,1,1
2,1,4,4,34,1,1,1,1,1
1,1,3,1,37,1,1,1,1,1
2,1,3,4,34,1,1,1,1,1
5,0,3,3,85,3,1,1,1,1
3,1,4,2,31,1,1,1,1,1
1,0,5,5,18,1,1,1,1,1
4,1,4,3,92,3,1,1,1,1
4,0,1,2,44,1,1,1,1,1
2,0,5,4,72,2,1,1,1,1
1,0,5,2,40,1,1,1,1,1
3,0,1,5,31,1,1,1,1,1
2,0,5,1,25,1,1,1,1,1
4,1,5,4,44,1,1,1,1,1
1,0,1,2,27,1,1,1,1,1
1,1,4,2,66,2,1,1,1,1
2,0,3,5,34,1,1,1,1,1
4,0,5,5,70,2,1,1,1,1
3,0,5,1,81,3,1,1,1,1
1,1,2,1,56,2,1,1,1,1
3,0,5,4,30,1,1,1,1,1
3,1,3,4,60,2,1,1,1,1
1,0,5,2,64,2,1,1,1,1
2,1,2,1,74,2,1,1,1,1
5,1,4,2,52,2,1,1,1,1
4,1,5,1,84,3,1,1,1,1
4,0,5,1,66,2,1,1,1,1
3,0,4,3,32,1,1,1,1,1
4,1,2,5,47,1,1,1,1,1
2,0,1,3,51,2,1,1,1,1
4,0,5,4,67,2,1,1,1,1
2,0,4,5,57,2,1,1,1,1
4,1,5,1,71,2,1,1,1,1
5,1,5,1,86,3,1,1,1,1
2,0,5,2,77,2,1,1,1,1
2,1,4,3,72,2,1,1,1,1
1,0,3,3,24,1,1,1,1,1
2,0,4,4,60,2,1,1,1,1
2,1,2,4,55,2,1,1,1,1
3,1,4,1,54,2,1,1,1,1
3,0,5,5,39,1,1,1,1,1
1,0,4,2,19,1,1,1,1,1
3,0,4,1,68,2,1,1,1,1
3,1,5,1,83,3,1,1,1,1
3,1,4,3,72,2,1,1,1,1
1,0,5,3,49,1,1,1,1,1
3,0,2,4,74,2,1,1,1,1
5,1,5,5,86,3,1,1,1,1
1,0,2,3,26,1,1,1,1,1
1,1,2,3,60,2,1,1,1,1
5,1,5,1,54,2,1,1,1,1
5,0,4,4,73,2,1,1,1,1
5,0,5,1,61,2,1,1,1,1
3,1,3,4,45,1,1,1,1,1
4,0,5,4,57,2,1,1,1,1
1,1,5,1,68,2,1,1,1,1
2,1,4,5,72,2,1,1,1,1
1,1,2,4,17,1,1,1,1,1
4,0,1,5,37,1,1,1,1,1
